"term_type","parameter","m0","m1","m2","m3","m4"
"random_sd","sd(Intercept) | SessionID","—","0.212 [0.07, 0.316]","0.17 [0.023, 0.286]","0.18 [0.024, 0.3]","0.183 [0.029, 0.302]"
"random_sd","sd(Intercept) | concept","—","0.286 [0.242, 0.34]","0.285 [0.241, 0.337]","0.286 [0.243, 0.338]","0.283 [0.241, 0.335]"
"random_sd","sd(Intercept) | pcn_ID","—","0.331 [0.27, 0.405]","0.326 [0.264, 0.395]","0.32 [0.26, 0.391]","0.322 [0.261, 0.393]"
"random_sd","sd(correction2M1) | concept","—","0.037 [0.002, 0.095]","0.039 [0.002, 0.094]","0.041 [0.002, 0.094]","0.04 [0.002, 0.095]"
"random_sd","sd(correction2M1) | pcn_ID","—","0.083 [0.012, 0.141]","0.061 [0.006, 0.116]","0.058 [0.004, 0.118]","0.067 [0.005, 0.127]"
"random_sd","sd(correction2M1:modality1) | pcn_ID","—","—","—","—","0.046 [0.002, 0.129]"
"random_sd","sd(correction3M2) | concept","—","0.033 [0.001, 0.083]","0.035 [0.002, 0.086]","0.029 [0.001, 0.079]","0.029 [0.001, 0.079]"
"random_sd","sd(correction3M2) | pcn_ID","—","0.047 [0.002, 0.114]","0.049 [0.002, 0.113]","0.052 [0.002, 0.119]","0.05 [0.002, 0.119]"
"random_sd","sd(correction3M2:modality1) | pcn_ID","—","—","—","—","0.058 [0.002, 0.158]"
"random_sd","sd(expressibility_z) | pcn_ID","—","—","0.114 [0.086, 0.144]","0.115 [0.088, 0.144]","—"
"random_sd","sd(modality1) | concept","—","—","0.168 [0.122, 0.22]","0.17 [0.125, 0.221]","0.164 [0.117, 0.215]"
"random_sd","sd(modality1) | pcn_ID","—","—","0.208 [0.161, 0.258]","0.211 [0.166, 0.261]","0.217 [0.171, 0.267]"
"random_cor","cor(BFI_extra x Familiarity) | SessionID","—","—","0.023 [-0.583, 0.627]","—","—"
"random_cor","cor(Intercept x BFI_extra) | SessionID","—","—","0.065 [-0.550, 0.639]","—","—"
"random_cor","cor(Intercept x Familiarity) | SessionID","—","—","-0.262 [-0.742, 0.366]","—","—"
"random_cor","cor(Intercept x correction2M1) | concept","—","0.031 [-0.502, 0.558]","-0.017 [-0.519, 0.495]","—","—"
"random_cor","cor(Intercept x correction2M1) | pcn_ID","—","0.208 [-0.242, 0.586]","0.058 [-0.399, 0.494]","—","—"
"random_cor","cor(Intercept x correction3M2) | concept","—","-0.188 [-0.701, 0.444]","-0.235 [-0.703, 0.371]","—","—"
"random_cor","cor(Intercept x correction3M2) | pcn_ID","—","0.040 [-0.518, 0.560]","-0.044 [-0.526, 0.470]","—","—"
"random_cor","cor(Intercept x expressibility_z) | pcn_ID","—","—","-0.302 [-0.544, -0.036] *","—","—"
"random_cor","cor(Intercept x modality1) | concept","—","—","0.157 [-0.128, 0.432]","—","—"
"random_cor","cor(Intercept x modality1) | pcn_ID","—","—","0.129 [-0.137, 0.388]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | concept","—","-0.034 [-0.621, 0.578]","-0.031 [-0.594, 0.554]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | pcn_ID","—","0.144 [-0.474, 0.676]","0.099 [-0.462, 0.619]","—","—"
"random_cor","cor(correction2M1 x expressibility_z) | pcn_ID","—","—","-0.123 [-0.559, 0.352]","—","—"
"random_cor","cor(correction2M1 x modality1) | concept","—","—","0.112 [-0.446, 0.612]","—","—"
"random_cor","cor(correction2M1 x modality1) | pcn_ID","—","—","0.280 [-0.242, 0.687]","—","—"
"random_cor","cor(correction3M2 x expressibility_z) | pcn_ID","—","—","0.013 [-0.500, 0.505]","—","—"
"random_cor","cor(correction3M2 x modality1) | concept","—","—","-0.000 [-0.551, 0.542]","—","—"
"random_cor","cor(correction3M2 x modality1) | pcn_ID","—","—","0.204 [-0.363, 0.666]","—","—"
"random_cor","cor(modality1 x expressibility_z) | pcn_ID","—","—","0.003 [-0.288, 0.292]","—","—"
