"term_type","parameter","Arm Torque
(integral)","Arm Torque
(peak mean)","Envelope
(integral)","Envelope
(peak mean)","COP
(integral)","COP
(peak mean)"
"fixed","effort_previous_COPc_integral_z","—","—","—","—","17.5% [14.8%, 20.3%] (β = 0.161 [0.138, 0.184]) *","—"
"fixed","effort_previous_COPc_peak_mean_z","—","—","—","—","—","22.7% [19.9%, 25.4%] (β = 0.204 [0.182, 0.227]) *"
"fixed","effort_previous_envelope_norm_integral_z","—","—","33.1% [28.6%, 37.8%] (β = 0.286 [0.251, 0.32]) *","—","—","—"
"fixed","effort_previous_envelope_norm_peak_mean_z","—","—","—","29.6% [24.8%, 34.7%] (β = 0.259 [0.221, 0.298]) *","—","—"
"fixed","effort_previous_moment_integral_z","27.7% [21.9%, 33.6%] (β = 0.244 [0.198, 0.29]) *","—","—","—","—","—"
"fixed","effort_previous_moment_peak_mean_z","—","10.6% [7.5%, 13.8%] (β = 0.1 [0.072, 0.129]) *","—","—","—","—"
"fixed","expressibility_z","-2% [-8.3%, 4.6%] (β = -0.02 [-0.086, 0.045])","3.3% [-0.1%, 6.8%] (β = 0.033 [-0.001, 0.066])","-3.7% [-7.9%, 0.5%] (β = -0.038 [-0.082, 0.005])","-9.1% [-15.2%, -2.7%] (β = -0.096 [-0.165, -0.027]) *","2.9% [-1%, 6.9%] (β = 0.029 [-0.01, 0.067])","0.4% [-2.9%, 3.8%] (β = 0.004 [-0.03, 0.038])"
"fixed","modality1","4.2% [-3.6%, 12.5%] (β = 0.041 [-0.036, 0.117])","0.3% [-5.1%, 6%] (β = 0.003 [-0.052, 0.058])","6.5% [0.3%, 13.2%] (β = 0.063 [0.003, 0.124]) *","21.7% [11%, 33.7%] (β = 0.197 [0.104, 0.29]) *","17.5% [9.5%, 26%] (β = 0.161 [0.091, 0.231]) *","15.7% [7.9%, 24%] (β = 0.146 [0.076, 0.215]) *"
"fixed","modality2","—","—","—","—","35.3% [24.7%, 47%] (β = 0.302 [0.22, 0.385]) *","30.4% [21.8%, 39.7%] (β = 0.266 [0.197, 0.334]) *"
"fixed","Intercept","88901.5 [80287.8, 98685] (β = 11.395 [11.293, 11.5]) *","22.9 [21.9, 23.9] (β = 3.131 [3.088, 3.176]) *","255.3 [237.4, 274.5] (β = 5.542 [5.47, 5.615]) *","0.1 [0.1, 0.1] (β = -2.035 [-2.12, -1.95]) *","1.2 [1.1, 1.2] (β = 0.141 [0.077, 0.204]) *","1.1 [1.1, 1.2] (β = 0.131 [0.076, 0.186]) *"
"random_sd","— Random Effect SDs —","","","","","",""
"random_sd","sd() | residual__","0.46 [0.435, 0.486]","0.367 [0.347, 0.387]","0.402 [0.385, 0.42]","0.509 [0.487, 0.533]","0.355 [0.342, 0.368]","0.355 [0.342, 0.368]"
"random_sd","sd(BFI_extra) | SessionID","0.067 [0.003, 0.166]","0.082 [0.01, 0.15]","0.061 [0.003, 0.146]","0.048 [0.002, 0.131]","0.036 [0.001, 0.097]","0.034 [0.001, 0.092]"
"random_sd","sd(Familiarity) | SessionID","0.076 [0.003, 0.194]","0.035 [0.001, 0.096]","0.074 [0.004, 0.171]","0.038 [0.001, 0.11]","0.057 [0.003, 0.128]","0.055 [0.003, 0.125]"
"random_sd","sd(Intercept) | SessionID","0.254 [0.164, 0.342]","0.082 [0.01, 0.139]","0.134 [0.016, 0.228]","0.071 [0.004, 0.158]","0.064 [0.004, 0.14]","0.069 [0.004, 0.137]"
"random_sd","sd(Intercept) | concept","0.244 [0.188, 0.31]","0.077 [0.031, 0.12]","0.156 [0.118, 0.201]","0.289 [0.231, 0.357]","0.2 [0.163, 0.243]","0.157 [0.125, 0.195]"
"random_sd","sd(Intercept) | pcn_ID","0.164 [0.07, 0.246]","0.059 [0.003, 0.129]","0.216 [0.158, 0.28]","0.191 [0.135, 0.246]","0.177 [0.138, 0.218]","0.149 [0.108, 0.19]"
"random_sd","sd(answer_prev_dist_z) | SessionID","0.038 [0.002, 0.094]","0.023 [0.001, 0.061]","0.025 [0.001, 0.06]","0.027 [0.001, 0.071]","0.042 [0.005, 0.075]","0.029 [0.002, 0.061]"
"random_sd","sd(answer_prev_dist_z) | concept","0.032 [0.001, 0.089]","0.03 [0.001, 0.075]","0.039 [0.002, 0.086]","0.042 [0.002, 0.101]","0.038 [0.003, 0.074]","0.034 [0.002, 0.069]"
"random_sd","sd(answer_prev_dist_z) | pcn_ID","0.032 [0.001, 0.085]","0.024 [0.001, 0.065]","0.023 [0.001, 0.061]","0.032 [0.001, 0.082]","0.023 [0.001, 0.059]","0.021 [0.001, 0.053]"
"random_sd","sd(correction2M1) | concept","0.069 [0.003, 0.171]","0.068 [0.004, 0.151]","0.046 [0.002, 0.115]","0.069 [0.003, 0.163]","0.033 [0.001, 0.083]","0.033 [0.001, 0.082]"
"random_sd","sd(correction2M1) | pcn_ID","0.077 [0.004, 0.186]","0.037 [0.002, 0.103]","0.054 [0.002, 0.128]","0.06 [0.003, 0.15]","0.029 [0.001, 0.078]","0.037 [0.002, 0.093]"
"random_sd","sd(expressibility_z) | pcn_ID","0.026 [0.001, 0.071]","0.022 [0.001, 0.059]","0.071 [0.012, 0.119]","0.098 [0.021, 0.157]","0.033 [0.002, 0.071]","0.017 [0.001, 0.045]"
"random_sd","sd(modality1) | concept","0.055 [0.002, 0.148]","0.037 [0.001, 0.103]","0.077 [0.005, 0.167]","0.222 [0.11, 0.328]","0.071 [0.004, 0.161]","0.08 [0.006, 0.164]"
"random_sd","sd(modality1) | pcn_ID","0.135 [0.012, 0.253]","0.07 [0.004, 0.167]","0.097 [0.008, 0.186]","0.19 [0.057, 0.291]","0.182 [0.106, 0.254]","0.175 [0.107, 0.242]"
"random_sd","sd(modality2) | concept","—","—","—","—","0.166 [0.089, 0.239]","0.086 [0.007, 0.166]"
"random_sd","sd(modality2) | pcn_ID","—","—","—","—","0.213 [0.146, 0.281]","0.146 [0.051, 0.22]"
"random_cor","— Random Effect Correlations —","","","","","",""
