"term_type","parameter","m0","m1","m2","m3","m4"
"random_sd","sd(expressibility_z) | pcn_ID","—","—","0.091 [0.06, 0.123]","0.091 [0.059, 0.121]","—"
"random_sd","sd(modality1) | concept","—","—","0.237 [0.169, 0.312]","0.252 [0.184, 0.327]","0.252 [0.186, 0.324]"
"random_sd","sd(modality1) | pcn_ID","—","—","0.296 [0.228, 0.37]","0.305 [0.242, 0.376]","0.308 [0.245, 0.377]"
"random_sd","sd(modality2) | concept","—","—","0.221 [0.149, 0.297]","0.215 [0.145, 0.288]","0.2 [0.13, 0.275]"
"random_sd","sd(modality2) | pcn_ID","—","—","0.348 [0.281, 0.421]","0.358 [0.293, 0.429]","0.354 [0.291, 0.426]"
"random_cor","cor(Familiarity x BFI_extra) | SessionID","—","—","-0.036 [-0.616, 0.580]","—","—"
"random_cor","cor(Intercept x BFI_extra) | SessionID","—","—","0.121 [-0.493, 0.652]","—","—"
"random_cor","cor(Intercept x Familiarity) | SessionID","—","—","0.006 [-0.540, 0.527]","—","—"
"random_cor","cor(Intercept x correction2M1) | concept","—","-0.472 [-0.821, 0.081]","-0.288 [-0.693, 0.243]","—","—"
"random_cor","cor(Intercept x correction2M1) | pcn_ID","—","0.145 [-0.430, 0.627]","0.015 [-0.479, 0.504]","—","—"
"random_cor","cor(Intercept x correction3M2) | concept","—","-0.378 [-0.810, 0.306]","-0.230 [-0.701, 0.366]","—","—"
"random_cor","cor(Intercept x correction3M2) | pcn_ID","—","0.183 [-0.336, 0.616]","0.061 [-0.401, 0.498]","—","—"
"random_cor","cor(Intercept x expressibility_z) | pcn_ID","—","—","-0.234 [-0.532, 0.100]","—","—"
"random_cor","cor(Intercept x modality1) | concept","—","—","0.488 [0.224, 0.717] *","—","—"
"random_cor","cor(Intercept x modality1) | pcn_ID","—","—","0.040 [-0.236, 0.320]","—","—"
"random_cor","cor(Intercept x modality2) | concept","—","—","0.320 [0.039, 0.568] *","—","—"
"random_cor","cor(Intercept x modality2) | pcn_ID","—","—","-0.085 [-0.360, 0.195]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | concept","—","0.118 [-0.463, 0.650]","0.013 [-0.526, 0.562]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | pcn_ID","—","0.159 [-0.453, 0.687]","0.048 [-0.480, 0.561]","—","—"
"random_cor","cor(correction2M1 x expressibility_z) | pcn_ID","—","—","-0.034 [-0.528, 0.473]","—","—"
"random_cor","cor(correction2M1 x modality1) | concept","—","—","0.051 [-0.464, 0.531]","—","—"
"random_cor","cor(correction2M1 x modality1) | pcn_ID","—","—","0.081 [-0.423, 0.544]","—","—"
"random_cor","cor(correction2M1 x modality2) | concept","—","—","-0.137 [-0.596, 0.381]","—","—"
"random_cor","cor(correction2M1 x modality2) | pcn_ID","—","—","-0.150 [-0.592, 0.371]","—","—"
"random_cor","cor(correction3M2 x expressibility_z) | pcn_ID","—","—","-0.116 [-0.563, 0.364]","—","—"
"random_cor","cor(correction3M2 x modality1) | concept","—","—","-0.166 [-0.657, 0.409]","—","—"
"random_cor","cor(correction3M2 x modality1) | pcn_ID","—","—","-0.172 [-0.596, 0.314]","—","—"
"random_cor","cor(correction3M2 x modality2) | concept","—","—","-0.166 [-0.648, 0.399]","—","—"
"random_cor","cor(correction3M2 x modality2) | pcn_ID","—","—","-0.265 [-0.661, 0.234]","—","—"
"random_cor","cor(modality1 x expressibility_z) | pcn_ID","—","—","0.075 [-0.248, 0.390]","—","—"
"random_cor","cor(modality1 x modality2) | concept","—","—","0.091 [-0.283, 0.478]","—","—"
"random_cor","cor(modality1 x modality2) | pcn_ID","—","—","0.134 [-0.143, 0.421]","—","—"
"random_cor","cor(modality2 x expressibility_z) | pcn_ID","—","—","-0.138 [-0.434, 0.174]","—","—"
