"term_type","parameter","m0","m1","m2","m3","m4"
"random_cor","cor(Familiarity x BFI_extra) | SessionID","—","—","-0.068 [-0.641, 0.553]","—","—"
"random_cor","cor(Intercept x BFI_extra) | SessionID","—","—","0.190 [-0.377, 0.643]","—","—"
"random_cor","cor(Intercept x Familiarity) | SessionID","—","—","-0.127 [-0.646, 0.448]","—","—"
"random_cor","cor(Intercept x correction2M1) | concept","—","-0.141 [-0.681, 0.495]","-0.134 [-0.644, 0.450]","—","—"
"random_cor","cor(Intercept x correction2M1) | pcn_ID","—","0.192 [-0.266, 0.583]","0.139 [-0.316, 0.532]","—","—"
"random_cor","cor(Intercept x correction3M2) | concept","—","-0.197 [-0.687, 0.399]","-0.215 [-0.681, 0.368]","—","—"
"random_cor","cor(Intercept x correction3M2) | pcn_ID","—","-0.044 [-0.618, 0.554]","-0.036 [-0.562, 0.507]","—","—"
"random_cor","cor(Intercept x expressibility_z) | pcn_ID","—","—","-0.293 [-0.708, 0.250]","—","—"
"random_cor","cor(Intercept x modality1) | concept","—","—","-0.062 [-0.374, 0.252]","—","—"
"random_cor","cor(Intercept x modality1) | pcn_ID","—","—","-0.172 [-0.484, 0.170]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | concept","—","0.007 [-0.584, 0.603]","0.014 [-0.564, 0.586]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | pcn_ID","—","0.043 [-0.554, 0.628]","0.034 [-0.513, 0.573]","—","—"
"random_cor","cor(correction2M1 x expressibility_z) | pcn_ID","—","—","-0.033 [-0.529, 0.461]","—","—"
"random_cor","cor(correction2M1 x modality1) | concept","—","—","0.125 [-0.474, 0.658]","—","—"
"random_cor","cor(correction2M1 x modality1) | pcn_ID","—","—","0.011 [-0.380, 0.401]","—","—"
"random_cor","cor(correction3M2 x expressibility_z) | pcn_ID","—","—","0.027 [-0.528, 0.564]","—","—"
"random_cor","cor(correction3M2 x modality1) | concept","—","—","0.110 [-0.469, 0.621]","—","—"
"random_cor","cor(correction3M2 x modality1) | pcn_ID","—","—","-0.065 [-0.566, 0.479]","—","—"
"random_cor","cor(modality1 x expressibility_z) | pcn_ID","—","—","0.228 [-0.253, 0.620]","—","—"
