"term_type","parameter","Probability of first-attempt success (w/ cumulative effort)","Probability of first-attempt success (w/ instantaneous effort)","Following success (cosine similarity, w/ cumulative effort)","Following success (cosine similarity, w/ instantaneous effort)","How many attempts needed (w/ cumulative effort)","How many attempts needed (w/ instantaneous effort)","Was understanding ever reached (w/ cumulative effort)","Was understanding ever reached (w/ instantaneous effort))"
"fixed","arm_torque_log_c:modality1","0.273 [-0.231, 0.77]","—","0.019 [-0.238, 0.274]","—","-0.278 [-0.674, 0.119]","—","0.387 [-0.113, 0.888]","—"
"fixed","arm_torque_log_c:modality3","0.356 [-0.103, 0.822]","—","-0.108 [-0.324, 0.102]","—","-0.423 [-0.787, -0.059] *","—","0.624 [0.186, 1.064] *","—"
"fixed","copc_in_log_c","—","-0.096 [-0.422, 0.233]","—","-0.099 [-0.284, 0.076]","—","0.111 [-0.165, 0.386]","—","-0.197 [-0.54, 0.15]"
"fixed","copc_log_c","0.006 [-0.313, 0.318]","—","-0.103 [-0.269, 0.06]","—","-0.019 [-0.287, 0.244]","—","0.044 [-0.293, 0.38]","—"
"fixed","correction2M1","—","—","-0.118 [-0.21, -0.028] *","-0.126 [-0.219, -0.034] *","—","—","—","—"
"fixed","envelope_in_log_c","—","-0.196 [-0.44, 0.05]","—","0.069 [-0.063, 0.202]","—","0.131 [-0.069, 0.331]","—","-0.197 [-0.449, 0.058]"
"fixed","envelope_log_c","-0.067 [-0.439, 0.3]","—","0.049 [-0.146, 0.243]","—","0.092 [-0.213, 0.399]","—","-0.184 [-0.575, 0.201]","—"
"fixed","expressibility_z","1.501 [1.175, 1.844] *","1.55 [1.231, 1.886] *","0.206 [0.129, 0.281] *","0.204 [0.127, 0.281] *","-1.281 [-1.482, -1.081] *","-1.31 [-1.508, -1.115] *","1.282 [1.066, 1.505] *","1.292 [1.077, 1.511] *"
"fixed","modality1","-0.454 [-1.747, 0.832]","-0.082 [-1.425, 1.246]","-0.23 [-0.783, 0.322]","0.362 [-0.225, 0.958]","0.59 [-0.472, 1.653]","0.419 [-0.715, 1.548]","-0.979 [-2.199, 0.229]","-0.615 [-1.911, 0.678]"
"fixed","modality1:copc_in_log_c","—","0.068 [-0.396, 0.53]","—","0.277 [0.014, 0.539] *","—","-0.177 [-0.538, 0.184]","—","0.537 [0.078, 1.007] *"
"fixed","modality1:copc_log_c","-0.158 [-0.606, 0.294]","—","0.202 [-0.03, 0.437]","—","0.064 [-0.285, 0.414]","—","0.183 [-0.266, 0.631]","—"
"fixed","modality1:envelope_in_log_c","—","0.215 [-0.16, 0.597]","—","-0.008 [-0.194, 0.176]","—","-0.095 [-0.413, 0.221]","—","0.129 [-0.246, 0.503]"
"fixed","modality1:envelope_log_c","-0.034 [-0.528, 0.462]","—","-0.144 [-0.386, 0.1]","—","0.028 [-0.368, 0.426]","—","-0.036 [-0.52, 0.45]","—"
"fixed","modality3","-1.351 [-2.568, -0.137] *","-1.372 [-2.449, -0.291] *","-0.743 [-1.141, -0.349] *","-0.862 [-1.2, -0.532] *","1.147 [0.211, 2.093] *","1.309 [0.468, 2.166] *","-1.097 [-2.112, -0.077] *","-1.562 [-2.47, -0.659] *"
"fixed","modality3:copc_in_log_c","—","0.154 [-0.419, 0.719]","—","0.136 [-0.083, 0.362]","—","-0.398 [-0.814, 0.027]","—","0.699 [0.21, 1.189] *"
"fixed","modality3:copc_log_c","-0.113 [-0.632, 0.396]","—","0.158 [-0.035, 0.353]","—","0.009 [-0.363, 0.378]","—","0.149 [-0.294, 0.593]","—"
"fixed","modality3:envelope_in_log_c","—","0.67 [0.264, 1.08] *","—","-0.137 [-0.294, 0.019]","—","-0.362 [-0.657, -0.07] *","—","0.284 [-0.066, 0.638]"
"fixed","modality3:envelope_log_c","0.287 [-0.265, 0.853]","—","-0.197 [-0.414, 0.021]","—","-0.205 [-0.619, 0.208]","—","0.102 [-0.389, 0.6]","—"
"fixed","Intercept","-0.173 [-0.565, 0.216]","-0.155 [-0.546, 0.237]","-0.76 [-0.901, -0.618] *","-0.765 [-0.902, -0.628] *","—","—","1.088 [0.736, 1.448] *","1.193 [0.842, 1.548] *"
"random_sd","— Random Effect SDs —","","","","","","","",""
"random_sd","sd(Intercept) | SessionID","0.225 [0.011, 0.537]","0.211 [0.009, 0.517]","0.047 [0.002, 0.123]","0.051 [0.002, 0.131]","0.163 [0.008, 0.371]","0.167 [0.008, 0.373]","0.147 [0.006, 0.376]","0.149 [0.006, 0.377]"
"random_sd","sd(Intercept) | concept","1.419 [1.083, 1.813]","1.427 [1.096, 1.824]","0.294 [0.219, 0.378]","0.304 [0.23, 0.391]","1.141 [0.936, 1.387]","1.143 [0.937, 1.388]","1.077 [0.851, 1.342]","1.088 [0.86, 1.357]"
"random_sd","sd(Intercept) | pcn_ID","0.172 [0.007, 0.46]","0.175 [0.007, 0.454]","0.12 [0.015, 0.208]","0.126 [0.018, 0.214]","0.299 [0.044, 0.491]","0.294 [0.043, 0.489]","0.432 [0.172, 0.637]","0.441 [0.207, 0.644]"
"random_sd","sd(modality1) | SessionID","0.657 [0.102, 1.142]","0.667 [0.111, 1.147]","—","—","—","—","—","—"
"random_sd","sd(modality1) | concept","0.615 [0.101, 1.118]","0.679 [0.159, 1.176]","—","—","—","—","—","—"
"random_sd","sd(modality1) | pcn_ID","0.342 [0.016, 0.865]","0.342 [0.016, 0.875]","—","—","—","—","—","—"
"random_sd","sd(modality3) | SessionID","0.464 [0.026, 0.993]","0.425 [0.024, 0.947]","—","—","—","—","—","—"
"random_sd","sd(modality3) | concept","0.88 [0.279, 1.481]","0.857 [0.257, 1.467]","—","—","—","—","—","—"
"random_sd","sd(modality3) | pcn_ID","0.393 [0.018, 0.942]","0.375 [0.019, 0.914]","—","—","—","—","—","—"
"random_cor","— Random Effect Correlations —","","","","","","","",""
"random_cor","cor(Intercept × modality1) | SessionID","-0.389 [-0.947, 0.688]","-0.348 [-0.936, 0.727]","—","—","—","—","—","—"
"random_cor","cor(Intercept × modality1) | concept","-0.235 [-0.777, 0.510]","-0.235 [-0.744, 0.455]","—","—","—","—","—","—"
"random_cor","cor(Intercept × modality1) | pcn_ID","-0.142 [-0.910, 0.830]","-0.153 [-0.918, 0.833]","—","—","—","—","—","—"
"random_cor","cor(Intercept × modality3) | SessionID","0.030 [-0.829, 0.876]","0.025 [-0.841, 0.879]","—","—","—","—","—","—"
"random_cor","cor(Intercept × modality3) | concept","-0.070 [-0.577, 0.476]","-0.070 [-0.600, 0.497]","—","—","—","—","—","—"
"random_cor","cor(Intercept × modality3) | pcn_ID","-0.058 [-0.887, 0.856]","-0.035 [-0.879, 0.860]","—","—","—","—","—","—"
"random_cor","cor(modality1 × modality3) | SessionID","-0.082 [-0.856, 0.762]","-0.077 [-0.848, 0.777]","—","—","—","—","—","—"
"random_cor","cor(modality1 × modality3) | concept","-0.450 [-0.946, 0.335]","-0.460 [-0.950, 0.269]","—","—","—","—","—","—"
"random_cor","cor(modality1 × modality3) | pcn_ID","-0.092 [-0.899, 0.836]","-0.113 [-0.897, 0.833]","—","—","—","—","—","—"
