"term_type","parameter","m0","m1","m2","m3","m4"
"random_cor","cor(Intercept x modality1) | pcn_ID","—","—","-0.210 [-0.469, 0.069]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | concept","—","0.014 [-0.587, 0.613]","0.003 [-0.568, 0.580]","—","—"
"random_cor","cor(correction2M1 x correction3M2) | pcn_ID","—","-0.021 [-0.620, 0.584]","-0.017 [-0.568, 0.544]","—","—"
"random_cor","cor(correction2M1 x expressibility_z) | pcn_ID","—","—","0.067 [-0.491, 0.584]","—","—"
"random_cor","cor(correction2M1 x modality1) | concept","—","—","0.078 [-0.388, 0.529]","—","—"
"random_cor","cor(correction2M1 x modality1) | pcn_ID","—","—","0.018 [-0.508, 0.545]","—","—"
"random_cor","cor(correction3M2 x expressibility_z) | pcn_ID","—","—","0.093 [-0.471, 0.606]","—","—"
"random_cor","cor(correction3M2 x modality1) | concept","—","—","-0.009 [-0.564, 0.561]","—","—"
"random_cor","cor(correction3M2 x modality1) | pcn_ID","—","—","-0.114 [-0.615, 0.455]","—","—"
"random_cor","cor(modality1 x expressibility_z) | pcn_ID","—","—","-0.010 [-0.343, 0.333]","—","—"
