word,answer,exp,English,answer_en,cosine_similarity,euclidean_similarity,mean_similarity
staart,slurpen,2,tail,to slurp,0.27045608,21.432817,1.0
staart,gooien,2,tail,to throw,0.26609528,21.777319,0.9
staart,vallen,2,tail,to fall,0.23410338,21.775528,1.0
vallen,vallen,2,to fall,to fall,0.9999998,0.0,10.0
piepen,fluit,2,squeak,whistle,0.2926305,19.401482,4.0
piepen,hartslag,2,squeak,heartbeat,0.1250535,20.944698,1.5
piepen,muis,2,squeak,mouse,0.73747647,13.327396,5.2
jagen,slaan,2,to hunt,to hit,0.92362046,7.875508,3.5
jagen,vangen,2,to hunt,to catch,0.952682,6.252262,5.6
jagen,pakken,2,to hunt,to grab,0.90536606,8.65214,2.9
bal,gooien,2,ball,to throw,0.12678155,24.348455,6.0
bal,vallen,2,ball,to fall,0.12275867,23.965822,2.9
bal,afschieten,2,ball,to shoot,0.12800837,23.370161,3.9
sneeuw,circus,2,snow,circus,0.19904873,20.984285,0.6
sneeuw,slurf,2,snow,trunk,0.33401114,18.96793,1.4
sneeuw,vallen,2,snow,to fall,0.16342875,22.922949,4.1
zwaar,vechten,2,heavy,to fight,0.7363036,12.648341,2.5
zwaar,pijn,2,heavy,pain,0.294126,17.66327,3.2
zwaar,openduwen,2,heavy,to push open,0.6424689,14.273578,2.1
grommen,grommen,2,to growl,to growl,1.0000002,0.0,10.0
zout,snijden,2,salt,to cut,0.84800196,11.155274,0.8
zout,eten,2,salt,to eat,0.81540155,11.98032,3.5
zout,mes,2,salt,knife,0.16424805,22.396984,0.7
zuigen,slurpen,2,to suck,to slurp,0.94257367,6.6846414,5.4
zuigen,drinken,2,to suck,to drink,0.9100088,8.563077,4.7
zuigen,drink,2,to suck,drink,0.20185368,20.591017,4.5
dik,eten,2,thick,to eat,0.79439545,12.475662,1.3
dik,heerlijk,2,thick,delicious,0.18205912,21.110804,2.0
dik,lekker,2,thick,tasty,0.80750585,12.70509,1.5
ziek,hoesten,2,sick,to cough,0.13177253,23.096788,6.2
ziek,ziek,2,sick,sick,0.99999976,0.0,10.0
huilen,huilen,2,to cry,to cry,0.9999999,0.0,10.0
